Tensao,Derivada,2aDerivada,Bateria
3.331,0.081 ,0.03325,0
3.31975,0.086 ,0.035875,0
3.307375,0.092 ,0.039125,0
3.294375,0.098 ,0.042375,0
3.279625,0.106 ,0.047,0
3.264,0.113 ,0.05125,0
3.2455,0.124 ,0.058125,0
3.222375,0.138 ,0.068875,0
3.186625,0.165 ,0.0915,0
3.985 ,0.034,-0.025125,1
3.982 ,0.03325,-0.01525,1
3.979 ,0.03225,-0.0125,1
3.976 ,0.03125,-0.01125,1
3.973 ,0.03075,-0.00975,1
3.970 ,0.030125,-0.009375,1
3.968 ,0.029375,-0.00875,1
3.965 ,0.028875,-0.008,1
3.963 ,0.028,-0.00775,1
3.960 ,0.0275,-0.007625,1
3.958 ,0.02725,-0.00675,1
3.955 ,0.026125,-0.007125,1
3.953 ,0.025875,-0.006375,1
3.950 ,0.025625,-0.005625,1
3.948 ,0.02525,-0.0055,1
3.946 ,0.024625,-0.0055,1
3.944 ,0.02425,-0.005125,1
3.941 ,0.024125,-0.00475,1
3.939 ,0.023625,-0.004375,1
3.937 ,0.023375,-0.004125,1
3.935 ,0.022875,-0.004375,1
3.933 ,0.022875,-0.00325,1
3.930 ,0.0225,-0.003375,1
3.928 ,0.022125,-0.0035,1
3.926 ,0.022,-0.00325,1
3.924 ,0.021875,-0.00275,1
3.922 ,0.021875,-0.002375,1
3.920 ,0.0215,-0.002625,1
3.918 ,0.0215,-0.002125,1
3.915 ,0.021375,-0.002,1
3.914 ,0.021125,-0.00175,1
3.912 ,0.020875,-0.002,1
3.910 ,0.02075,-0.00175,1
3.908 ,0.02075,-0.001375,1
3.906 ,0.020375,-0.001625,1
3.903 ,0.0205,-0.001375,1
3.902 ,0.020125,-0.00175,1
3.900 ,0.019875,-0.001625,1
3.898 ,0.01975,-0.00175,1
3.896 ,0.0195,-0.001875,1
3.894 ,0.019625,-0.0015,1
3.892 ,0.019625,-0.00125,1
3.890 ,0.01975,-0.001,1
3.888 ,0.019625,-0.001125,1
3.886 ,0.0195,-0.000875,1
3.884 ,0.019125,-0.001375,1
3.882 ,0.01925,-0.000875,1
3.881 ,0.018875,-0.001,1
3.879 ,0.019,-0.00075,1
3.877 ,0.019125,-0.000375,1
3.875 ,0.019,-0.000625,1
3.873 ,0.018875,-0.00075,1
3.872 ,0.018375,-0.001375,1
3.870 ,0.018375,-0.00125,1
3.868 ,0.018125,-0.001375,1
3.866 ,0.018375,-0.00075,1
3.864 ,0.018125,-0.001125,1
3.863 ,0.018125,-0.00075,1
3.861 ,0.018125,-0.000875,1
3.859 ,0.01775,-0.001375,1
3.857 ,0.017875,-0.001125,1
3.855 ,0.01775,-0.001125,1
3.854 ,0.018,-0.000375,1
3.852 ,0.017625,-0.00075,1
3.850 ,0.018,-0.000125,1
3.849 ,0.01725,-0.001125,1
3.847 ,0.0175,-0.000625,1
3.845 ,0.017625,-0.0005,1
3.843 ,0.017375,-0.00075,1
3.842 ,0.017125,-0.000625,1
3.840 ,0.017,-0.000875,1
3.838 ,0.01725,-0.0005,1
