Tensao,Derivada,Bateria
3.377375,0.0062125,0
3.36925,0.0065625,0
3.360375,0.0069125,0
3.351125,0.0073,0
3.341,0.007725,0
3.331,0.008125,0
3.31975,0.008625,0
3.307375,0.009225,0
3.294375,0.0098125,0
3.279625,0.0105625,0
3.264,0.0113375,0
3.2455,0.012375,0
3.222375,0.0138,0
3.186625,0.01645,0
4.01875,0.0059125,1
4.01475,0.00485,1
4.011,0.004475,1
4.00725,0.00425,1
4.004,0.00405,1
4.0005,0.00395,1
3.99725,0.0038125,1
3.994,0.0036875,1
3.99075,0.003575,1
3.987625,0.0035125,1
3.98475,0.0034,1
3.9815,0.003325,1
3.97875,0.003225,1
3.976,0.003125,1
3.97325,0.003075,1
3.970375,0.0030125,1
3.967875,0.0029375,1
3.965125,0.0028875,1
3.96275,0.0028,1
3.960125,0.00275,1
3.9575,0.002725,1
3.955375,0.0026125,1
3.952875,0.0025875,1
3.950375,0.0025625,1
3.948,0.002525,1
3.94575,0.0024625,1
3.943625,0.002425,1
3.941,0.0024125,1
3.939125,0.0023625,1
3.93675,0.0023375,1
3.934625,0.0022875,1
3.9325,0.0022875,1
3.930375,0.00225,1
3.92825,0.0022125,1
3.926,0.0022,1
3.923875,0.0021875,1
3.92175,0.0021875,1
3.9195,0.00215,1
3.917625,0.00215,1
3.915375,0.0021375,1
3.9135,0.0021125,1
3.911625,0.0020875,1
3.909625,0.002075,1
3.9075,0.002075,1
3.905625,0.0020375,1
3.903375,0.00205,1
3.901625,0.0020125,1
3.899625,0.0019875,1
3.897875,0.001975,1
3.895875,0.00195,1
3.893875,0.0019625,1
3.892,0.0019625,1
3.889875,0.001975,1
3.887875,0.0019625,1
3.886125,0.00195,1
3.88425,0.0019125,1
3.882375,0.001925,1
3.88075,0.0018875,1
3.878875,0.0019,1
3.87675,0.0019125,1
3.874875,0.0019,1
3.873125,0.0018875,1
3.8715,0.0018375,1
3.8695,0.0018375,1
3.868,0.0018125,1
3.865875,0.0018375,1
3.86425,0.0018125,1
3.862625,0.0018125,1
3.86075,0.0018125,1
3.859,0.001775,1
3.857,0.0017875,1
3.855375,0.001775,1
3.8535,0.0018,1
3.851875,0.0017625,1
3.85,0.0018,1
3.848625,0.001725,1
3.84675,0.00175,1
3.845,0.0017625,1
3.843375,0.0017375,1
3.841875,0.0017125,1
3.84,0.0017,1
3.838125,0.001725,1
